date;comment;avg;hit_rate_mean;r2_oos_mean;hit_rate_AAPL;hit_rate_AMZN;hit_rate_GOOG;hit_rate_GOOGL;hit_rate_MSFT;hit_rate_TSLA
2026-06-26 12:19:10;overnight V2 T=BoW | NO AVG | delta=0.9;log-weighted;0.5026455026455027;-0.1120978659354212;0.4444444444444444;0.5396825396825397;0.5714285714285714;0.6190476190476191;0.5873015873015873;0.2539682539682539
2026-06-26 12:20:09;overnight V2 T=BoW | NO AVG | delta=0.98;log-weighted;0.5;-0.1090036604630391;0.4603174603174603;0.492063492063492;0.5873015873015873;0.6031746031746031;0.5555555555555556;0.3015873015873015
2026-06-26 12:21:16;overnight V2 T=BoW | NO AVG | delta=0.95;log-weighted;0.5052910052910052;-0.1091060288629216;0.4761904761904761;0.5079365079365079;0.5714285714285714;0.6190476190476191;0.5873015873015873;0.2698412698412698
2026-06-26 12:22:21;overnight V2 T=BoW+VADER | NO AVG | delta=0.9;log-weighted;0.5052910052910053;-0.1177603584539741;0.4603174603174603;0.5238095238095238;0.5873015873015873;0.6190476190476191;0.5873015873015873;0.2539682539682539
2026-06-26 12:23:29;overnight V2 T=BoW+VADER | NO AVG | delta=0.98;log-weighted;0.5026455026455027;-0.1068219098759121;0.4761904761904761;0.5079365079365079;0.5873015873015873;0.6031746031746031;0.5555555555555556;0.2857142857142857
2026-06-26 12:24:52;overnight V2 T=BoW+VADER | NO AVG | delta=0.95;log-weighted;0.4947089947089947;-0.1137073378018411;0.4761904761904761;0.4603174603174603;0.5873015873015873;0.6190476190476191;0.5555555555555556;0.2698412698412698
2026-06-26 12:26:05;overnight T=TBlob | NO AVG | delta=0.9;log-weighted;0.4947089947089947;-0.2460232589147049;0.3968253968253968;0.5238095238095238;0.5396825396825397;0.6507936507936508;0.6349206349206349;0.2222222222222222
2026-06-26 12:27:20;overnight T=TBlob | NO AVG | delta=0.98;log-weighted;0.4788359788359788;-0.1525084599587631;0.4285714285714285;0.4761904761904761;0.5714285714285714;0.6190476190476191;0.5396825396825397;0.238095238095238
2026-06-26 12:28:31;overnight T=TBlob | NO AVG | delta=0.95;log-weighted;0.4973544973544974;-0.1972547040108114;0.4126984126984127;0.5079365079365079;0.5396825396825397;0.6507936507936508;0.6190476190476191;0.2539682539682539
2026-06-26 12:29:42;overnight T=VADER | NO AVG | delta=0.9;log-weighted;0.5;-0.1129944211579553;0.5079365079365079;0.5079365079365079;0.5714285714285714;0.6031746031746031;0.5714285714285714;0.238095238095238
2026-06-26 12:30:49;overnight T=VADER | NO AVG | delta=0.98;log-weighted;0.5;-0.0972492892912476;0.492063492063492;0.492063492063492;0.5873015873015873;0.5873015873015873;0.5555555555555556;0.2857142857142857
2026-06-26 12:31:53;overnight T=VADER | NO AVG | delta=0.95;log-weighted;0.4947089947089947;-0.1034958016058923;0.5238095238095238;0.4761904761904761;0.5873015873015873;0.5873015873015873;0.5555555555555556;0.238095238095238
2026-06-26 12:32:59;overnight T=TBlob+VADER | NO AVG | delta=0.9;log-weighted;0.4920634920634921;-0.185365576660204;0.4285714285714285;0.5079365079365079;0.5396825396825397;0.6349206349206349;0.6031746031746031;0.238095238095238
2026-06-26 12:34:04;overnight T=TBlob+VADER | NO AVG | delta=0.98;log-weighted;0.4814814814814815;-0.1271253681904823;0.4285714285714285;0.492063492063492;0.5714285714285714;0.6031746031746031;0.5555555555555556;0.238095238095238
2026-06-26 12:35:09;overnight T=TBlob+VADER | NO AVG | delta=0.95;log-weighted;0.4867724867724868;-0.1554605891521906;0.4603174603174603;0.492063492063492;0.5555555555555556;0.6031746031746031;0.5555555555555556;0.2539682539682539
2026-06-26 12:36:15;overnight V2 T=BoW | AVG 4 | delta=0.9;log-weighted;0.5132275132275133;-0.092649950438988;0.4444444444444444;0.5714285714285714;0.5714285714285714;0.6190476190476191;0.6349206349206349;0.238095238095238
2026-06-26 12:37:20;overnight V2 T=BoW | AVG 4 | delta=0.98;log-weighted;0.4814814814814815;-0.0949111647952729;0.4444444444444444;0.492063492063492;0.5714285714285714;0.5873015873015873;0.5714285714285714;0.2222222222222222
2026-06-26 12:38:26;overnight V2 T=BoW | AVG 4 | delta=0.95;log-weighted;0.4867724867724868;-0.0920535406742302;0.4444444444444444;0.5238095238095238;0.5555555555555556;0.6031746031746031;0.5714285714285714;0.2222222222222222
2026-06-26 12:39:33;overnight V2 T=BoW+VADER | AVG 4 | delta=0.9;log-weighted;0.4973544973544974;-0.1023649305641413;0.4444444444444444;0.5396825396825397;0.5555555555555556;0.6190476190476191;0.6031746031746031;0.2222222222222222
2026-06-26 12:40:37;overnight V2 T=BoW+VADER | AVG 4 | delta=0.98;log-weighted;0.4867724867724868;-0.0967715587324686;0.4603174603174603;0.4761904761904761;0.5873015873015873;0.5873015873015873;0.5714285714285714;0.238095238095238
2026-06-26 12:41:41;overnight V2 T=BoW+VADER | AVG 4 | delta=0.95;log-weighted;0.4920634920634921;-0.1001524186491935;0.4444444444444444;0.5238095238095238;0.5714285714285714;0.6031746031746031;0.5873015873015873;0.2222222222222222
2026-06-26 12:42:45;overnight T=TBlob | AVG 4 | delta=0.9;log-weighted;0.4576719576719577;-0.2742337318691796;0.3333333333333333;0.492063492063492;0.6031746031746031;0.5714285714285714;0.5555555555555556;0.1904761904761904
2026-06-26 12:43:49;overnight T=TBlob | AVG 4 | delta=0.98;log-weighted;0.4841269841269842;-0.1548582254413452;0.4285714285714285;0.4761904761904761;0.5873015873015873;0.6031746031746031;0.5873015873015873;0.2222222222222222
2026-06-26 12:44:54;overnight T=TBlob | AVG 4 | delta=0.95;log-weighted;0.4894179894179893;-0.2100904084687781;0.4126984126984127;0.5079365079365079;0.5873015873015873;0.5714285714285714;0.6507936507936508;0.2063492063492063
2026-06-26 12:46:00;overnight T=VADER | AVG 4 | delta=0.9;log-weighted;0.4947089947089947;-0.1095535078305777;0.5079365079365079;0.492063492063492;0.5873015873015873;0.5873015873015873;0.5555555555555556;0.238095238095238
2026-06-26 12:47:04;overnight T=VADER | AVG 4 | delta=0.98;log-weighted;0.5;-0.0993202095054585;0.5396825396825397;0.4761904761904761;0.5714285714285714;0.5873015873015873;0.5555555555555556;0.2698412698412698
2026-06-26 12:48:07;overnight T=VADER | AVG 4 | delta=0.95;log-weighted;0.5026455026455027;-0.103440152124517;0.5396825396825397;0.5079365079365079;0.5873015873015873;0.5873015873015873;0.5555555555555556;0.238095238095238
2026-06-26 12:49:12;overnight T=TBlob+VADER | AVG 4 | delta=0.9;log-weighted;0.4761904761904762;-0.1886723349036863;0.3968253968253968;0.4603174603174603;0.6031746031746031;0.5873015873015873;0.6031746031746031;0.2063492063492063
2026-06-26 12:50:15;overnight T=TBlob+VADER | AVG 4 | delta=0.98;log-weighted;0.4841269841269842;-0.1239104414982804;0.4603174603174603;0.4761904761904761;0.5714285714285714;0.6031746031746031;0.5555555555555556;0.238095238095238
2026-06-26 12:51:20;overnight T=TBlob+VADER | AVG 4 | delta=0.95;log-weighted;0.4841269841269842;-0.1533954453569061;0.4444444444444444;0.5079365079365079;0.5555555555555556;0.6031746031746031;0.5873015873015873;0.2063492063492063
2026-06-26 12:52:24;overnight V2 T=BoW | AVG 6 | delta=0.9;log-weighted;0.5185185185185185;-0.0847246824711637;0.5238095238095238;0.5555555555555556;0.5555555555555556;0.6031746031746031;0.6349206349206349;0.238095238095238
2026-06-26 12:53:28;overnight V2 T=BoW | AVG 6 | delta=0.98;log-weighted;0.4867724867724868;-0.087159440161285;0.4761904761904761;0.492063492063492;0.5714285714285714;0.5873015873015873;0.5714285714285714;0.2222222222222222
2026-06-26 12:54:32;overnight V2 T=BoW | AVG 6 | delta=0.95;log-weighted;0.5026455026455027;-0.0828705155928768;0.492063492063492;0.5079365079365079;0.5555555555555556;0.6190476190476191;0.6190476190476191;0.2222222222222222
