date,comment,hit_rate_mean,r2_oos_mean,hit_rate_AAPL,hit_rate_AMZN,hit_rate_GOOG,hit_rate_GOOGL,hit_rate_MSFT,hit_rate_TSLA
2026-06-21 12:08:38,T=VADER | HL=RoBERTa+BoW+TBlob+VADERfull,0.5066137566137566,-0.0539726020760771,0.5119047619047619,0.496031746031746,0.5317460317460317,0.5357142857142857,0.4801587301587302,0.4841269841269841
2026-06-21 12:15:58,T=VADER | HL=VADERfull,0.5,-0.0441075498468475,0.4722222222222222,0.5,0.5317460317460317,0.5357142857142857,0.4801587301587302,0.4801587301587302
2026-06-21 12:23:39,T=VADER | HL=BoW+TBlob+VADERfull,0.5052910052910052,-0.0506655316436223,0.5079365079365079,0.5,0.496031746031746,0.5595238095238095,0.496031746031746,0.4722222222222222
2026-06-21 12:27:27,overnight T=VADERfull,0.5185185185185186,-0.0102429969133442,0.5357142857142857,0.4761904761904761,0.5515873015873016,0.5158730158730159,0.4801587301587302,0.5515873015873016
2026-06-21 12:31:04,overnight T=TBlob+VADERfull,0.5105820105820106,-0.0222577228973679,0.4563492063492063,0.5119047619047619,0.5476190476190477,0.5317460317460317,0.4722222222222222,0.5436507936507936
2026-06-21 12:34:47,HL=VADERfull,0.5013227513227513,-0.0443124278951607,0.4801587301587302,0.496031746031746,0.5198412698412699,0.5198412698412699,0.5198412698412699,0.4722222222222222
2026-06-21 12:38:23,T=VADERfull,0.5079365079365079,-0.0148716664761807,0.492063492063492,0.4801587301587302,0.5396825396825397,0.5079365079365079,0.4801587301587302,0.5476190476190477
2026-06-21 12:42:07,overnight T=TBlobfull,0.5066137566137566,-0.0362774722319448,0.4642857142857143,0.5158730158730159,0.5396825396825397,0.5238095238095238,0.4841269841269841,0.5119047619047619
2026-06-21 12:49:27,T=BoW+VADER | HL=VADERfull,0.4993386243386243,-0.0703393472828262,0.4841269841269841,0.492063492063492,0.5436507936507936,0.5158730158730159,0.4880952380952381,0.4722222222222222
2026-06-21 12:57:05,T=VADER | HL=BoW+VADERfull,0.5026455026455027,-0.0550534320364161,0.5277777777777778,0.4841269841269841,0.492063492063492,0.5476190476190477,0.4880952380952381,0.4761904761904761
