ticker,site,headline,date
AAPL,bbc,Why is Apple sitting on $142bn?,2015-01-28
AAPL,bbc,Apple Pay to be available in China from this week,2016-02-18
AAPL,bbc,Apple worries 'an overreaction' - Cook,2016-05-03
AAPL,bbc,Apple v FBI: US debates a world without privacy,2016-03-02
AAPL,bbc,Apple Stores to employ human trafficking victims,2018-11-14
AAPL,bbc,Taylor Swift pulls 1989 album from Apple Music,2015-06-21
AAPL,bbc,Apple to pay teenager who found FaceTime bug,2019-02-08
AAPL,bbc,Early Apple computer fails to sell,2015-09-22
AAPL,bbc,Dongle dilemma provokes Apple price cut,2016-11-04
AAPL,bbc,iPhones 'disabled' if Apple detects third-party repairs,2016-02-05
AAPL,bbc,Apple in $100bn share buyback as more money returned,2018-05-01
AAPL,bbc,Apple to issue fix for Facetime bug,2019-02-01
AAPL,bbc,Apple Store worker 'texts himself customer's intimate photo',2019-11-13
AAPL,bbc,Apple aims for bigger bite of music market,2015-06-30
AAPL,bbc,Apple and Samsung end patent fight after seven long years,2018-06-27
AAPL,bbc,Apple Watch bug allowed iPhone eavesdropping,2019-07-11
AAPL,bbc,Apple patent case: Wisconsin university wins huge damages,2015-10-17
AAPL,bbc,Apple FaceTime car crash lawsuit dismissed,2018-12-17
AAPL,bbc,Apple sued over 'shrinking' gadget storage - BBC News,2015-01-02
AAPL,bbc,Cosmic Crisp: New apple launched that 'lasts for a year',2019-11-30
AAPL,bbc,Samsung to pay Apple $548m over patent row,2015-12-04
AAPL,bbc,"Sean Spicer, Trump press secretary, confronted in Apple",2017-03-13
AAPL,bbc,'Gas leak' iPad prompts Apple shop evacuation,2018-08-21
AAPL,bbc,Apple pulls New York Times app from China app store,2017-01-05
AAPL,bbc,Apple's iPhone 11 Pro 'triggering' fear of holes,2019-09-11
AAPL,bbc,Red Sox 'cheated using Apple Watch',2017-09-05
AAPL,bbc,Amazon bars the sale of Apple and Google TV devices,2015-10-02
AAPL,bbc,Woman 'fined $500 over free Delta Air Lines flight apple',2018-04-23
AAPL,bbc,Apple v Amazon: Battle of the titans,2018-09-07
AAPL,bbc,Donald Trump demands Apple boycott to force it to unlock,2016-02-19
AAPL,bbc,Artists thank Taylor Swift for stand on Apple,2015-06-22
