date,price,volume,dlyret,sdAdjClose,past_3ret,past_7ret,ret1,ret7,dlyretSPX,volumeSPX,VIX,TVADER,TBoW,TTBlob,TRoBERTa,HLVADER,HLBoW,HLTBlob,HLRoBERTa
2015-01-02,308.5199890136719,2783200,-0.005896623340917118,5.506922586311462,-0.0037705681564016436,0.000967342753714906,-0.015699837695514876,-0.03996618722828313,-0.0003399873718977764,1504833333,17.79,0.062001941892009985,0.058164168979463526,0.06919913971122904,0.22184654328704026,,,,
2015-01-05,302.19000244140625,2774200,-0.02051726564785117,5.0240327848070585,-0.008750898529058119,-0.0018471874491302767,-0.02299491104424564,-0.029678406268301056,-0.018278107083859685,2110622222,19.92,0.0761426352292259,0.48751100331170516,0.17621884230448906,0.37482320102725053,,,,
2015-01-06,295.2900085449219,3519000,-0.022833296405370906,5.293033917756983,-0.016415728464713064,-0.003588581310841293,0.0030924821100315127,-0.035462143841911764,-0.008893486028764053,2477838889,21.12,0.062476814087150424,0.09453010555650568,0.07459733073528689,0.24869938428050795,,,,
2015-01-07,298.4200134277344,2640300,0.010599765627817836,5.478709099220345,-0.010916932141801413,-0.004931187938571581,0.00046611656714649473,-0.03189936353291767,0.011629823080879564,2114155556,19.31,0.02370967741935484,-0.04731182795698926,0.08007222765287278,0.14973182925806455,,,,
2015-01-08,300.4599914550781,3088400,0.006835929011301811,5.224725194363954,-0.0017992005887504197,-0.005318081697615337,-0.015092271940885709,-0.039936341071275465,0.017888345920331616,2185561111,17.01,0.17509523370647243,0.28486080117566714,0.11796456757198791,0.3629823442781173,,,,
2015-01-09,296.92999267578125,2592400,-0.01174864833817535,5.438136404225258,0.0018956821003147661,-0.006199849384514423,-0.020668080208843594,-0.0010417984982428639,-0.008403891103416772,1868966667,17.55,0.09020635529455093,0.19167082889239398,0.08435950095900988,0.27033206466136794,,,,
2015-01-12,291.4100036621094,3421400,-0.01859020358276564,5.996774703827413,-0.007834307636546392,-0.008878620382280076,-0.009210772659542,0.04316255164613644,-0.008093661513783657,1920255556,19.6,0.1712187611961357,0.5333947586370099,0.22941054691887286,0.5775865267184762,0.254,1.0,0.3,0.46912017
2015-01-13,294.739990234375,4136400,0.011427152569980947,6.154411713004597,-0.006303899783653348,-0.0064037952521517815,0.004590129042954592,0.07008537144513013,-0.0025785648782700177,2281833333,20.56,0.06765273852285209,0.4668667147875014,0.12353064623325842,0.3813706903393654,0.182,0.0,0.125,0.30474904
2015-01-14,293.2699890136719,5538700,-0.004987450869948784,6.38774413845951,-0.004050167294244493,-0.004185250283880012,-0.02397955031622024,0.05326531857860332,-0.005813062584341333,2432600000,21.48,0.10157582810619536,0.3512083113323497,0.12606794017333667,0.24536933426321172,,,,
2015-01-15,286.95001220703125,4419200,-0.0215500291315045,7.043320799974041,-0.005036775810490779,-0.004001926387613383,0.015579123494814901,0.0715034277909305,-0.00924788815027322,2375955556,22.39,-0.00859823007177113,0.235094921825324,0.04863681510496917,0.0480809990361149,,,,
2015-01-16,290.739990234375,3478200,0.013207798801588178,7.405247273421523,-0.004443227066621702,-0.0036293502199319055,-0.010765897453468228,0.0386889759250214,0.013424199691870697,2253561111,20.95,0.07997367293884321,0.048317001693881326,0.11918217078730116,0.26617466559283226,0.19774999999999998,0.0,0.00625,0.15000465575
2015-01-20,289.44000244140625,3075100,-0.004471307135701541,7.802172662354231,-0.004271179155205955,-0.005244669669503813,0.02627394340108508,0.07643965961586037,0.0015499499856392873,2191300000,19.89,0.10474161522582857,0.27584707868604835,0.2760999534159087,0.3770060718003471,0.175,0.0,-0.0625,0.312425865
2015-01-21,297.25,10065100,0.02698313119374296,7.831679718293799,0.011906540953209865,0.00028844169219880263,0.0344000244140625,0.18176666259765625,0.004731650639044682,2072261111,18.85,0.03644156517879573,-0.18342305870334835,0.10971332474550016,0.1566553420527898,0.063,0.0,0.0,0.050167274
2015-01-22,310.32000732421875,5362600,0.04396974709577384,8.036616390821466,0.02216052371793842,0.009225577503418727,0.013989964502809017,0.18303692906455715,0.01526976753341347,2320027778,16.4,0.13346229622840253,0.061440782798168427,0.16427417743454545,0.340701520744471,0.042499999999999996,0.5,0.0,-0.055639548999999996
