date,price,volume,dlyret,sdAdjClose,past_3ret,past_7ret,ret1,ret7,dlyretSPX,volumeSPX,VIX,TVADER,TBoW,TTBlob,TRoBERTa,HLVADER,HLBoW,HLTBlob,HLRoBERTa
2015-01-02,523.3731079101562,1447500,-0.003020489426484918,10.452928106945128,-0.0034765679897707327,8.183601920992117e-06,-0.01794524410970828,-0.051752481601811624,-0.0003399873718977764,1504833333,17.79,0.0247,0.24444444444444444,0.06605166746833414,0.4107084363222222,,,,
2015-01-05,512.4630126953125,2059800,-0.020845731372037934,10.120209000152748,-0.01048169355612194,-0.00452662799177623,-0.025320458656786653,-0.02743694396135886,-0.018278107083859685,2110622222,19.92,0.021727272727272727,0.2545454545454545,0.011542699724517918,0.5088477310909091,0.0,0.5,0.0,0.248931375
2015-01-06,500.5856323242188,2899900,-0.023177049029595942,11.044730917987982,-0.015681089942706266,-0.007347618361935855,-0.01163708907030944,-0.010276143206898597,-0.008893486028764053,2477838889,21.12,0.03970731707317073,0.15447154471544713,0.07267060852426706,0.38135203463414635,0.231,1.0,0.2142857142857142,0.051277064
2015-01-07,499.7279968261719,2065000,-0.0017132643101739342,11.799327016224522,-0.01524534823726927,-0.009013443513457675,0.009417850834161868,0.020261397423952433,0.011629823080879564,2114155556,19.31,0.0404561403508772,0.3157894736842105,0.037266778056251754,0.28697790074035096,,,,
2015-01-08,501.3036804199219,3353500,0.0031530824843861716,11.929747066723758,-0.007245743618461235,-0.007573238028104834,-0.017018022163496252,0.004239606806796611,0.017888345920331616,2185561111,17.01,0.011422680412371133,0.10309278350515463,0.06790141845554215,0.18928393286288658,,,,
2015-01-09,494.8114929199219,2071300,-0.01295060809160975,12.736410015618974,-0.0038369299724658377,-0.009447559945051325,-0.004828862303075674,0.046672366011452235,-0.008403891103416772,1868966667,17.55,0.009200000000000002,0.27666666666666667,0.06415173160173158,0.4036291055300001,,,,
2015-01-12,491.201416015625,2326700,-0.007295863083117804,13.505517687416624,-0.005697796230113794,-0.009407131832662017,-0.005332357047325374,0.07126527967146525,-0.008093661513783657,1920255556,19.6,-0.03348571428571429,-0.04285714285714287,0.07330786875987762,0.1059771515757143,-0.128,-1.0,-0.125,-0.69506365
2015-01-13,494.8214721679688,2370400,0.007369799911628672,14.098465646826954,-0.004292223754366294,-0.007922804784360074,0.012574553126665706,0.09157989526557023,-0.0025785648782700177,2281833333,20.56,-0.0007241379310344809,0.026819923371647507,0.10546540943092657,0.22730197248275863,0.293,1.0,0.1363636363636363,0.69840294
2015-01-14,499.4986267089844,2235700,0.009452206106827843,14.390895307820657,0.003175380978446237,-0.0035945280016649634,-0.007476715162658988,0.05862694015595395,-0.005813062584341333,2432600000,21.48,0.0205625,0.0546875,0.05422387941919188,0.35232594278124996,-0.12166666666666666,-0.3333333333333333,0.05333333333333334,0.03665680666666667
2015-01-15,500.4161071777344,2715800,0.0018368027852146973,14.043660760543633,0.006219602934557071,-2.112059954915781e-05,0.016139631963537612,0.037239278537098026,-0.00924788815027322,2375955556,22.39,0.029010526315789473,0.06526315789473684,0.04377952456899823,0.3209211236736842,0.106,-0.3333333333333333,0.028787878787878765,-0.019110573333333325
2015-01-16,506.6888732910156,2298200,0.012535100336115601,13.959212591622123,0.007941369742719381,0.00201436006420649,-0.008023486037933106,-0.001956930286739085,0.013424199691870697,2253561111,20.95,0.031905263157894735,0.12105263157894737,0.054911217437533216,0.35319962426052626,0.14933333333333335,0.3333333333333333,0.06666666666666667,0.44197688500000004
2015-01-20,505.5121154785156,2232000,-0.002322446523952193,14.030546703356713,0.0040164855324593685,0.0012321416344438665,0.0212716437164975,0.006722527153319452,0.0015499499856392873,2191300000,19.89,0.028503937007874014,0.12598425196850394,0.02402733749190442,0.4064067474724408,0.0,0.2857142857142857,0.0,0.21924236042857143
2015-01-21,516.6216430664062,2268700,0.02197677809833376,14.053961553787497,0.01072981063683239,0.006221768233007225,0.024756426679780084,0.025005824164797165,0.004731650639044682,2072261111,18.85,0.04731707317073171,0.17479674796747965,0.06503141167775314,0.42830157843902433,-0.273,0.0,-0.6,0.45990503
2015-01-22,532.9268188476562,2676900,0.0315611550543462,14.605878785848905,0.01707182887624259,0.011772770824073511,0.008140595217961668,-0.01327504719417489,0.01526976753341347,2320027778,16.4,0.061162499999999995,0.08166666666666667,0.10440593434343433,0.2745767769,-0.271,1.0,-0.6,0.5707233
2015-01-23,538.4716186523438,2281700,0.010404430042903368,15.295350072810598,0.021314121065194442,0.012206289414255611,-0.006164936076547672,-0.01725070626396873,-0.005491602646438665,1985311111,16.66,0.03193571428571429,0.16666666666666669,0.05628710575139148,0.33879615193885715,,,,
