date,price,volume,dlyret,sdAdjClose,past_3ret,past_7ret,ret1,ret7,dlyretSPX,volumeSPX,VIX,TVADER,TBoW,TTBlob,TRoBERTa,HLVADER,HLBoW,HLTBlob,HLRoBERTa
2015-01-02,219.3099975585937,4764400,-0.01393824941536892,8.565086621153382,-0.009515434842164142,-0.0020395580564851307,-0.02078772617305082,-0.04800747101025699,-0.0003399873718977764,1504833333,17.79,0.035914408286671154,0.10006861407554672,0.09428162592216675,0.14310565095871336,,,,
2015-01-05,210.08999633789065,5368500,-0.04204095263937846,8.250211339612473,-0.018389731561288647,-0.006999326519716179,0.005807870298403089,-0.08269063752770107,-0.018278107083859685,2110622222,19.92,0.047262689183744405,0.0026979841926192223,0.07445073361932351,0.17651505284590097,,,,
2015-01-06,211.27999877929688,6261900,0.0056642508551065784,8.102931932617258,-0.016771650399880267,-0.007024128702012189,-0.011249163752584779,-0.10067968301770837,-0.008893486028764053,2477838889,21.12,0.031792355642808544,0.12398071853923162,0.10112219675707612,0.22602463553872876,0.0,0.0,0.0,0.2874126
2015-01-07,210.9499969482422,2968400,-0.0015619170435503538,8.160388285042394,-0.012646206275940744,-0.010820946223896575,-0.010290881380247243,-0.09275875410383323,0.011629823080879564,2114155556,19.31,0.03311330631796304,0.14177089835929216,0.08107520437837115,0.09872125134415707,,,,
2015-01-08,210.6199951171875,3442500,-0.0015643604447913573,8.211234011410811,0.0008459911222549558,-0.009721326257015146,-0.010817511615180348,-0.08132302145352749,0.017888345920331616,2185561111,17.01,0.04681650869242226,0.02499602336384334,0.07462497040111063,0.0007241664215196036,,,,
2015-01-09,206.6600036621093,4668300,-0.018801593138746853,8.343272162732704,-0.0073092902090295215,-0.010204687779406847,-0.004136893992936846,-0.03191330032084412,-0.008403891103416772,1868966667,17.55,0.014494425210699546,-0.02533495287053231,0.08580486795807026,0.0715655342316079,,,,
2015-01-12,202.2100067138672,5950300,-0.021532937527272478,8.713279124496301,-0.013966297036936895,-0.013396537050571691,0.004574034242966863,-0.008361263750696072,-0.008093661513783657,1920255556,19.6,0.022642638384078755,0.051081985263739645,0.09912993740640282,0.12520464967505507,,,,
2015-01-13,204.25,4477300,0.010088488296325915,8.856179237117876,-0.010082014123231139,-0.009964145948901002,0.03691546328772174,0.08319427058464654,-0.0025785648782700177,2281833333,20.56,0.004323885357003919,0.002968153882462428,0.06430210639415453,-0.06248144279908789,0.278,1.0,0.0,0.2835916
2015-01-14,192.69000244140625,11551900,-0.05659729526851287,9.85123313723414,-0.022680581499819812,-0.012043623467348774,-0.013471182590247183,0.06200831517287198,-0.005813062584341333,2432600000,21.48,0.014280119957594402,-0.01392771301413581,0.08370406527305242,-0.00690541097108438,,,,
2015-01-15,191.8699951171875,5216500,-0.004255577942961053,10.427015542586775,-0.01692146163838267,-0.013460741867072721,0.01242795182959445,0.08012584700483233,-0.00924788815027322,2375955556,22.39,0.06341796654903376,0.06486716353504117,0.06738708694743789,0.20221560195716365,,,,
2015-01-16,193.07000732421875,3603200,0.00625429841856362,11.268405065083034,-0.0181995249309701,-0.012344139658199296,-0.01000671836935668,0.028369526685526794,0.013424199691870697,2253561111,20.95,0.03252636216228533,0.17587644686081466,0.07120908459692112,0.10109234304822685,0.307,1.0,-0.6,0.37351775
